state,party
Alabama,2
Alaska,2
Arizona,2
Arkansas,2
California,1
Colorado,0
Connecticut,1
Delaware,1
Florida,0
Georgia,2
Hawaii,1
Idaho,2
Illinois,1
Indiana,0
Iowa,2
Kansas,2
Kentucky,2
Louisiana,2
Maine,2
Maryland,1
Massachusetts,1
Michigan,1
Minnesota,1
Mississippi,2
Missouri,0
Montana,0
Nebraska,2
Nevada,0
New Hampshire,1
New Jersey,1
New Mexico,1
New York,1
North Carolina,2
North Dakota,0
Ohio,0
Oklahoma,2
Oregon,1
Pennsylvania,0
Rhode Island,1
South Carolina,2
South Dakota,2
Tennessee,2
Texas,2
Utah,2
Vermont,1
Virginia,1
Washington,1
West Virginia,0
Wisconsin,0
Wyoming,2
